"                 /;.,   3 ",UFV,CNPJ,Unidade,Frente,Natureza,Portfólio,Fornecedor,Contrato original,Aditivo 1,Aditivo 2,Aditivo 3,Aditivo 4,Aditivo 5,Valor total,FD.Medido,Medição,FD+Medição,Saldo a Medir,Avanço Contratual%,"Pagamento? 
Sim / Não",OBS:
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Sistemas de Monitoramento - Estações Solarimétricas,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Sistemas de Monitoramento - CFTV,Mori,Maxvision,289840.9,0,9336.84,0.0,0.0,0.0,299177.74000000005,12905.67,286272.07,299177.74,0.0,0.9999999999999998,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Serviços Auxiliares - Drenagem,Mori,MRO,472621.43,0,0,0.0,0.0,0.0,472621.43,0.0,472621.43,472621.43,0.0,1.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Serviços Auxiliares - Terraplanagem,Mori,MRO,497631.51300000004,0,0,0.0,0.0,0.0,497631.51300000004,0.0,497631.51300000004,497631.51300000004,0.0,1.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Serviços Auxiliares - Supressão Vegetal,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,RDR-Rede de Distribuição Rural,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Escopo COMERC,Mori,0,145160,13000,,0.0,0.0,0.0,158160.0,118860.0,26300.0,145160.0,13000.0,0.9178047546788063,S,Escopo Comerc
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Escopo COMERC - Segurança,Mori,0,173663.78999999998,0,0,0.0,0.0,0.0,173663.78999999998,0.0,173663.78999999998,173663.78999999998,0.0,1.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Conexão MT - Obras Transferencia,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Bases de Contaniers,Mori,GR ENGENHARIA,99192.67,0,0,0.0,0.0,0.0,99192.78,0.0,99192.78,99192.78,0.0,1.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Construção - Serviços de Construção - Ase Engenharia,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Full EPC - Contrato Sobressalentes,Mori,Weg,199511.97,0,0,0.0,0.0,0.0,199511.98,0.0,199511.98,199511.98,0.0,1.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Construção - Serviços de Construção - NOVA MORADA,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Equipamentos Curva A -  Contrato Sobressalentes - SETTA,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Equipamentos Curva A -  Contrato Sobressalentes - Arctech,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Equipamentos Curva A -  Contrato Sobressalentes - Romagnole,Mori,Onix,62318.97,0,0,0.0,0.0,0.0,62318.97,0.0,62318.97,62318.97,0.0,1.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,GOS FLORESTAL - (PRAD - Recuperação Area Ambiental),Mori,Gos Florestal,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Cercamento das bacias de contenção ciclo 2,Mori,A Definir,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S,Cercamento das bacias de contenção ciclo 2
3.0,Frei Inocêncio 1,MORI GERACAO II ,Mori II,Weg,Total,Mori,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
4.0,Lagoa Formosa 1,MORI GERACAO II ,Mori II,1,Conexão AT - Obras,Mori,MBA,400000,0,0,0.0,0.0,0.0,400000.0,82000.0,318000.0,400000.0,0.0,1.0,,
4.0,Lagoa Formosa 1,MORI GERACAO II ,Mori II,1,Conexão MT - Obras,Mori,Engeluz,642127.5,278928.57,0,0.0,0.0,0.0,921056.0700000001,571195.74,349860.33,921056.0700000001,0.0,1.0,,
4.0,Lagoa Formosa 1,MORI GERACAO II ,Mori II,1,Construção - Serviços de Construção,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4.0,Lagoa Formosa 1,MORI GERACAO II ,Mori II,1,Construção - Serviços de Construção - Substituição,Mori,Prumo,1167400,176826.3,0,0.0,0.0,0.0,1344226.3,849467.0100000001,791752.07,1641219.08,-296992.78,1.2209395694757645,N,Em Processo Judicial
4.0,Lagoa Formosa 1,MORI GERACAO II ,Mori II,1,Construção - RDA Interno,Mori,Engeluz,330000,32600,0,0.0,0.0,0.0,362600.0,0.0,362600.0,362600.0,0.0,1.0,,
4.0,Lagoa Formosa 1,MORI GERACAO II ,Mori II,1,Full EPC - Contrato,Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
4.0,Lagoa Formosa 1,MORI GERACAO II ,Mori II,1,Equipamentos Curva A - Outros (Transformadores),Mori,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
